Year,Strommenge aus Erneuerbaren Energien,Value
2006,Strommenge aus Erneuerbaren Energien (gesamt),4590
2007,Strommenge aus Erneuerbaren Energien (gesamt),5938
2008,Strommenge aus Erneuerbaren Energien (gesamt),6501
2009,Strommenge aus Erneuerbaren Energien (gesamt),6551
2010,Strommenge aus Erneuerbaren Energien (gesamt),7119
2011,Strommenge aus Erneuerbaren Energien (gesamt),8463
2012,Strommenge aus Erneuerbaren Energien (gesamt),10419
2013,Strommenge aus Erneuerbaren Energien (gesamt),10872
2014,Strommenge aus Erneuerbaren Energien (gesamt),12555
2015,Strommenge aus Erneuerbaren Energien (gesamt),18156
2016,Strommenge aus Erneuerbaren Energien (gesamt),19502
2017,Strommenge aus Erneuerbaren Energien (gesamt),22893
2018,Strommenge aus Erneuerbaren Energien (gesamt),22937
2019,Strommenge aus Erneuerbaren Energien (gesamt),24050
2020,Strommenge aus Erneuerbaren Energien (gesamt),24816
2021,Strommenge aus Erneuerbaren Energien (gesamt),23228
2022,Strommenge aus Erneuerbaren Energien (gesamt),26050
2023,Strommenge aus Erneuerbaren Energien (gesamt),26263
2024,Strommenge aus Erneuerbaren Energien (gesamt),27347
2025,Strommenge aus Erneuerbaren Energien (gesamt),27267
2006,Strommenge aus Erneuerbaren Energien (an Land),4590
2007,Strommenge aus Erneuerbaren Energien (an Land),5938
2008,Strommenge aus Erneuerbaren Energien (an Land),6501
2009,Strommenge aus Erneuerbaren Energien (an Land),6551
2010,Strommenge aus Erneuerbaren Energien (an Land),7119
2011,Strommenge aus Erneuerbaren Energien (an Land),8463
2012,Strommenge aus Erneuerbaren Energien (an Land),10419
2013,Strommenge aus Erneuerbaren Energien (an Land),10872
2014,Strommenge aus Erneuerbaren Energien (an Land),12361
2015,Strommenge aus Erneuerbaren Energien (an Land),14047
2016,Strommenge aus Erneuerbaren Energien (an Land),13621
2017,Strommenge aus Erneuerbaren Energien (an Land),15879
2018,Strommenge aus Erneuerbaren Energien (an Land),15950
2019,Strommenge aus Erneuerbaren Energien (an Land),16826
2020,Strommenge aus Erneuerbaren Energien (an Land),17783
2021,Strommenge aus Erneuerbaren Energien (an Land),17158
2022,Strommenge aus Erneuerbaren Energien (an Land),19052
2023,Strommenge aus Erneuerbaren Energien (an Land),20878
2024,Strommenge aus Erneuerbaren Energien (an Land),21657
2025,Strommenge aus Erneuerbaren Energien (an Land),21739
