Year,Institution,Value
2015,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),25
2016,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),33
2017,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),35
2018,Berechnungen des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),39
2015,Zahlen des Breitbandatlasses des Bundes,15
2016,Zahlen des Breitbandatlasses des Bundes,17.2
2017,Zahlen des Breitbandatlasses des Bundes,20.1
2018,Zahlen des Breitbandatlasses des Bundes,21.3
2015,Prognose des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),39
2016,Prognose des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),50
2017,Prognose des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),56
2018,Prognose des Breitbandkompetenzzentrums Schleswig-Holstein (BKZSH),62
