Year,Gebiet,Value
1993-1996,Schleswig-Holstein,3.3
1997-2000,Schleswig-Holstein,4.1
2001-2004,Schleswig-Holstein,8.4
2002-2005,Schleswig-Holstein,.
2003-2006,Schleswig-Holstein,.
2004-2007,Schleswig-Holstein,.
2005-2008,Schleswig-Holstein,5.4
2006-2009,Schleswig-Holstein,5.1
2007-2010,Schleswig-Holstein,4.2
2008-2011,Schleswig-Holstein,3.6
2009-2012,Schleswig-Holstein,3.4
2010-2013,Schleswig-Holstein,3.2
2011-2014,Schleswig-Holstein,3.2
2012-2015,Schleswig-Holstein,2.7
2013-2016,Schleswig-Holstein,2.3
2014-2017,Schleswig-Holstein,2.5
2015-2018,Schleswig-Holstein,2.6
2016-2019,Schleswig-Holstein,2.3
2017-2020,Schleswig-Holstein,3.5
2018-2021,Schleswig-Holstein,3.7
2019-2022,Schleswig-Holstein,3.6
2020-2023,Schleswig-Holstein,3.6
2021-2024,Schleswig-Holstein,2.8
1993-1996,Deutschland,120
1997-2000,Deutschland,129
2001-2004,Deutschland,115
2002-2005,Deutschland,114
2003-2006,Deutschland,113
2004-2007,Deutschland,113
2005-2008,Deutschland,104
2006-2009,Deutschland,94
2007-2010,Deutschland,87
2008-2011,Deutschland,81
2009-2012,Deutschland,74
2010-2013,Deutschland,73
2011-2014,Deutschland,69
2012-2015,Deutschland,66
2013-2016,Deutschland,62
2014-2017,Deutschland,58
2015-2018,Deutschland,56
2016-2019,Deutschland,52
2017-2020,Deutschland,53
2018-2021,Deutschland,53
2019-2022,Deutschland,49
2020-2023,Deutschland,51
2021-2024,Deutschland,50
